router,granularity,model,horizon_hours,training_time_sec,MAE,RMSE,sMAPE,R2,MSLE,P99_abs_error
dallas,12H,lstm_only,1,0.271193265914917,2298970236.0,2495992651.16248,69.31891701620508,-107.4178068286389,0.5677573132319796,5302207193.279998
dallas,12H,lstm_only,6,0.271193265914917,2298970236.0,2495992651.16248,69.31891701620508,-107.4178068286389,0.5677573132319796,5302207193.279998
dallas,12H,lstm_only,12,0.271193265914917,2298970236.0,2495992651.16248,69.31891701620508,-107.4178068286389,0.5677573132319796,5302207193.279998
dallas,12H,lstm_only,24,0.271193265914917,5776918232.571428,5833805533.94693,119.02929759673732,-161.11094206852596,2.1042291601865593,7975646797.84
dallas,12H,nhits,1,0.031237363815307617,1465438332.0,1680028318.391255,50.20305697431308,-48.11873997594311,0.3065368497801034,3975686791.359998
dallas,12H,nhits,6,0.031237363815307617,1465438332.0,1680028318.391255,50.20305697431308,-48.11873997594311,0.3065368497801034,3975686791.359998
dallas,12H,nhits,12,0.031237363815307617,1465438332.0,1680028318.391255,50.20305697431308,-48.11873997594311,0.3065368497801034,3975686791.359998
dallas,12H,nhits,24,0.031237363815307617,2985300989.142857,3035995649.4164057,87.01930275170407,-42.90467059784902,1.060200754455462,4566236300.080002
dallas,1D,hybrid_gru_lstm,1,0.2888062000274658,24042062060.0,24125498005.83333,150.19003133819743,-1168.5182043363345,3.916108739157835,28689504478.48
dallas,1D,hybrid_gru_lstm,6,0.2888062000274658,24042062060.0,24125498005.83333,150.19003133819743,-1168.5182043363345,3.916108739157835,28689504478.48
dallas,1D,hybrid_gru_lstm,12,0.2888062000274658,24042062060.0,24125498005.83333,150.19003133819743,-1168.5182043363345,3.916108739157835,28689504478.48
dallas,1D,hybrid_gru_lstm,24,0.2888062000274658,24042062060.0,24125498005.83333,150.19003133819743,-1168.5182043363345,3.916108739157835,28689504478.48
dallas,1D,gru_only,1,0.2586700916290283,24676618476.0,24727039646.403526,151.21544822886315,-1227.566482262308,4.0071375139863745,28189989516.559998
dallas,1D,gru_only,6,0.2586700916290283,24676618476.0,24727039646.403526,151.21544822886315,-1227.566482262308,4.0071375139863745,28189989516.559998
dallas,1D,gru_only,12,0.2586700916290283,24676618476.0,24727039646.403526,151.21544822886315,-1227.566482262308,4.0071375139863745,28189989516.559998
dallas,1D,gru_only,24,0.2586700916290283,24676618476.0,24727039646.403526,151.21544822886315,-1227.566482262308,4.0071375139863745,28189989516.559998
dallas,1D,lstm_only,1,0.04073905944824219,50325072620.0,50330014025.87968,172.67391457536317,-5088.891389333268,6.9648391003653085,51902670702.88
dallas,1D,lstm_only,6,0.04073905944824219,50325072620.0,50330014025.87968,172.67391457536317,-5088.891389333268,6.9648391003653085,51902670702.88
dallas,1D,lstm_only,12,0.04073905944824219,50325072620.0,50330014025.87968,172.67391457536317,-5088.891389333268,6.9648391003653085,51902670702.88
dallas,1D,lstm_only,24,0.04073905944824219,50325072620.0,50330014025.87968,172.67391457536317,-5088.891389333268,6.9648391003653085,51902670702.88
dallas,1D,nhits,1,0.025405406951904297,11379539820.0,11665857530.06906,116.9852758685134,-272.456183934909,1.9024647459724173,17478207946.0
dallas,1D,nhits,6,0.025405406951904297,11379539820.0,11665857530.06906,116.9852758685134,-272.456183934909,1.9024647459724173,17478207946.0
dallas,1D,nhits,12,0.025405406951904297,11379539820.0,11665857530.06906,116.9852758685134,-272.456183934909,1.9024647459724173,17478207946.0
dallas,1D,nhits,24,0.025405406951904297,11379539820.0,11665857530.06906,116.9852758685134,-272.456183934909,1.9024647459724173,17478207946.0
atlanta,5min,hybrid_gru_lstm,1,66.75634908676147,15006263.68220339,28097503.69546271,89.48872331739466,0.004317010843364666,2.6108306873813016,74007029.31999955
atlanta,5min,hybrid_gru_lstm,6,66.75634908676147,19942029.83368644,31491847.905387435,100.96988032919774,-0.24677323575085808,4.204331664132683,83302587.33999997
atlanta,5min,hybrid_gru_lstm,12,66.75634908676147,18990630.11440678,30381051.362723205,105.64516177909131,-0.14966492590436498,4.551217721462103,86215388.85999995
atlanta,5min,hybrid_gru_lstm,24,66.75634908676147,19327171.54661017,30896276.82294473,111.47598105112347,-0.17983416744583391,6.002650267980094,69926702.42
atlanta,5min,gru_only,1,38.05585265159607,14597214.180084746,27851576.46379602,89.22005941717775,0.02167043513186473,2.2792107876845704,72398089.9599997
atlanta,5min,gru_only,6,38.05585265159607,19747033.893008474,30726947.839914218,101.48251945614174,-0.18694344563527676,4.1813116222377085,80615933.09999992
atlanta,5min,gru_only,12,38.05585265159607,16879108.063559324,29185841.074445948,102.74890197599649,-0.0609871175891068,4.115190822455192,88241122.61999987
atlanta,5min,gru_only,24,38.05585265159607,21314384.439618643,31920312.113124944,114.84821022735916,-0.25933980909482557,6.482241984903833,68867547.31999971
atlanta,5min,lstm_only,1,97.4910147190094,16437089.419491526,28652024.197178926,93.32576214726028,-0.0353715612154577,2.7300436681955946,69626936.86
atlanta,5min,lstm_only,6,97.4910147190094,22869256.90677966,34147201.220958635,104.44451800864643,-0.4658900862077451,4.566503884653413,75932737.45999998
atlanta,5min,lstm_only,12,97.4910147190094,22094322.190942798,33796380.92642274,108.10333971255675,-0.42267623589956504,4.994270875005543,82740851.99999954
atlanta,5min,lstm_only,24,97.4910147190094,21463226.575211864,33453139.990982186,114.20209881251027,-0.3831919399720112,6.188256501110241,81988821.5999999
atlanta,5min,nhits,1,1.9246833324432373,13767192.137150781,28862507.248321824,101.7183989144933,-0.05063949719109484,40.39734464621586,83763349.33999991
atlanta,5min,nhits,6,1.9246833324432373,17462121.195709746,29614832.113969974,95.87900568899221,-0.10257903459931339,3.694826460320773,79933343.63999991
atlanta,5min,nhits,12,1.9246833324432373,14320362.930755097,28945503.910624802,91.46871059274916,-0.04358520481770811,4.480257213854564,87332446.82
atlanta,5min,nhits,24,1.9246833324432373,16391153.736111917,30016845.342151932,104.98782219503559,-0.11362447936134035,5.689761349693653,74346588.43999939
atlanta,15min,hybrid_gru_lstm,1,8.34553599357605,40228523.0984127,58444157.87104488,80.42778121427395,-0.01686444317305713,1.8548937103652445,155448456.72
atlanta,15min,hybrid_gru_lstm,6,8.34553599357605,58184725.17460317,73870838.01623751,96.61061179907718,-0.6048078108697574,3.485212141312311,185665098.32000005
atlanta,15min,hybrid_gru_lstm,12,8.34553599357605,51873685.136507936,69444624.23049927,99.49100596134197,-0.3876613851833657,3.572196598932875,168300389.56000015
atlanta,15min,hybrid_gru_lstm,24,8.34553599357605,57756816.34920635,73254745.48189095,107.5812981710636,-0.5065684082336663,5.671576128620329,170305485.28000003
atlanta,15min,gru_only,1,6.2090675830841064,37430684.32539683,58252969.85400629,75.35450236248144,-0.010222400112536612,1.4810353540519907,169243315.92000014
atlanta,15min,gru_only,6,6.2090675830841064,58893458.1968254,76684931.52245024,95.38942518145392,-0.7294063369194903,3.7240007121711254,189145018.16000006
atlanta,15min,gru_only,12,6.2090675830841064,54118996.05079365,74628762.32590076,100.53379802824793,-0.6025763045564327,3.8460034818995434,187730422.72
atlanta,15min,gru_only,24,6.2090675830841064,58741787.72063492,73883217.22368512,109.72264598271994,-0.5325297911205857,5.3837023450564185,178043062.8
atlanta,15min,lstm_only,1,14.348032236099243,36334164.71904762,56190437.21867509,75.88769461484914,0.06004800525652698,1.8698931634387623,151219786.44000006
